                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9954,                 4.1845,                 1.0579,                0.00169,                0.01324,                0.00256,                0.00185,                 1.4683,                 3.8554,                0.90966,             0.00011432,             0.00011432,             0.00011432
                      2,                 1.7164,                 2.5121,                 0.9577,                 0.0383,                0.22397,                0.17273,                0.08675,                 1.4802,                 3.3314,                0.91001,             0.00023812,             0.00023812,             0.00023812
                      3,                 1.5355,                  1.317,                0.92586,                0.04585,                0.36739,                0.24569,                0.11555,                 1.6134,                 2.7524,                0.93491,             0.00035683,             0.00035683,             0.00035683
                      4,                 1.5781,                 1.2243,                0.91189,                0.04319,                0.36457,                0.22726,                0.09315,                 1.7398,                 2.5377,                0.96403,             0.00047044,             0.00047044,             0.00047044
                      5,                 1.4906,                 1.1468,                 0.9138,                0.97343,                 0.2264,                0.29754,                0.15025,                 1.5256,                 1.9038,                0.93772,             0.00057896,             0.00057896,             0.00057896
                      6,                 1.5252,                 1.1095,                0.91536,                0.97791,                 0.2072,                0.30949,                0.16346,                  1.476,                 2.0072,                0.93916,             0.00068239,             0.00068239,             0.00068239
                      7,                 1.4627,                 1.0801,                0.90497,                0.62413,                0.24363,                0.28428,                0.16213,                 1.4327,                 1.7101,                0.94433,             0.00078073,             0.00078073,             0.00078073
                      8,                 1.5534,                 1.1051,                0.91239,                0.94275,                0.24348,                0.28375,                0.12607,                 1.6831,                 1.8429,                0.96797,             0.00087397,             0.00087397,             0.00087397
                      9,                 1.5104,                  1.106,                0.92471,                0.62989,                0.27669,                0.30734,                 0.1746,                 1.4257,                 1.5616,                 0.9326,             0.00096212,             0.00096212,             0.00096212
                     10,                 1.6479,                 1.0723,                0.92079,                0.61383,                0.26023,                0.29721,                0.16926,                 1.4289,                 1.4406,                0.93727,              0.0010452,              0.0010452,              0.0010452
                     11,                 1.5098,                  1.068,                0.91244,                0.58112,                0.26078,                0.27894,                0.12985,                 1.5669,                 1.5138,                0.95226,              0.0011231,              0.0011231,              0.0011231
                     12,                 1.3903,                 1.0069,                0.90303,                0.60183,                0.29069,                0.30628,                0.18121,                 1.3407,                 1.2007,                0.92909,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.3721,                0.96493,                0.89301,                0.60296,                0.29559,                0.30909,                0.18346,                 1.3367,                 1.1147,                0.91989,              0.0011178,              0.0011178,              0.0011178
                     14,                   1.35,                0.97756,                0.89774,                0.93883,                0.29265,                0.31422,                0.18091,                 1.3737,                 1.2116,                0.92782,              0.0010895,              0.0010895,              0.0010895
