                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6382,                 2.7784,                 1.0047,                0.03821,                0.34834,                  0.251,                0.13229,                 1.4405,                  2.763,                0.93298,             0.00031438,             0.00031438,             0.00031438
                      2,                  1.467,                 1.2221,                0.95959,                0.95584,                0.17513,                0.26433,                0.13082,                 1.4915,                 2.2364,                0.97347,             0.00063032,             0.00063032,             0.00063032
                      3,                 1.4765,                  1.132,                0.96056,                0.95923,                0.20485,                0.28932,                0.16349,                  1.333,                 2.0641,                0.93883,             0.00093324,             0.00093324,             0.00093324
                      4,                 1.4289,                 1.1092,                0.95324,                0.94201,                0.27961,                0.30305,                0.17817,                 1.3605,                  1.372,                0.94292,              0.0012231,              0.0012231,              0.0012231
                      5,                 1.3235,                0.99779,                 0.9303,                0.95077,                0.29185,                0.31143,                0.18673,                 1.2979,                 1.1229,                0.93234,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3863,                0.99601,                0.94367,                0.94704,                0.28681,                0.32404,                0.18614,                 1.3306,                 1.1247,                0.93447,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.3741,                0.97334,                0.94893,                0.61131,                0.29108,                0.32761,                0.19013,                 1.3561,                 1.0159,                0.94786,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.3353,                 0.9283,                0.93414,                0.73999,                0.39102,                0.40694,                0.24917,                 1.3289,                0.95016,                0.94605,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.2887,                0.86516,                0.92452,                0.70274,                 0.4066,                0.46134,                0.28571,                 1.2523,                 0.8774,                 0.9222,              0.0012309,              0.0012309,              0.0012309
                     10,                  1.292,                0.85093,                0.92399,                0.69294,                0.43194,                0.50071,                0.28456,                 1.3609,                0.91899,                0.93165,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.3143,                0.83465,                0.91992,                0.64487,                 0.4729,                0.50395,                 0.2862,                 1.3648,                0.90422,                0.93495,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.2802,                0.79825,                0.91528,                 0.6273,                0.48552,                0.52375,                 0.3253,                 1.2219,                 0.7947,                0.91421,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.2599,                0.77978,                0.91049,                0.65732,                0.52496,                0.56773,                0.35553,                 1.1799,                0.73569,                0.90453,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.2636,                0.77422,                0.91852,                0.56473,                0.51535,                0.57834,                0.35128,                 1.1994,                0.75351,                0.90548,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.2758,                 0.7884,                0.91571,                0.64263,                 0.4902,                0.55821,                0.34016,                 1.2117,                0.77964,                0.90963,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.2307,                  0.753,                0.90579,                 0.6584,                0.51985,                0.57829,                0.34693,                 1.1912,                0.76999,                0.90463,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.2202,                0.75408,                0.91096,                0.71521,                0.59815,                0.62004,                0.37755,                 1.1761,                0.68597,                0.90631,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.1864,                0.72337,                0.90148,                0.71089,                0.60247,                0.62695,                0.37239,                 1.1974,                0.70316,                 0.9066,             0.00097629,             0.00097629,             0.00097629
                     19,                  1.194,                0.70917,                0.89877,                0.80329,                0.57796,                0.64241,                0.39101,                 1.1535,                0.70716,                0.89728,               0.000948,               0.000948,               0.000948
                     20,                 1.2138,                0.72294,                0.90415,                0.71297,                0.57962,                0.64031,                0.38336,                 1.1508,                0.70799,                0.89783,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.1842,                0.69076,                0.90145,                0.76426,                 0.5829,                0.64108,                0.38057,                 1.1921,                0.69339,                0.90378,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.2294,                0.72379,                 0.9086,                0.74823,                0.58588,                0.64847,                0.38795,                 1.2102,                0.70472,                 0.9112,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.2367,                0.71337,                0.90679,                0.80271,                0.55251,                0.63453,                0.35708,                  1.293,                0.72813,                0.91552,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.1808,                0.68133,                0.89991,                 0.7351,                 0.5721,                0.62837,                0.38599,                 1.1411,                0.64907,                0.89785,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.1558,                0.66522,                0.88686,                 0.7948,                0.59804,                0.66301,                 0.4096,                 1.1274,                0.63421,                 0.8943,             0.00077823,             0.00077823,             0.00077823
                     26,                  1.171,                0.65691,                0.89457,                0.81044,                0.60972,                 0.6713,                0.40652,                 1.1349,                0.63925,                0.89365,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.1381,                0.65521,                0.88704,                0.78231,                0.61043,                0.66442,                0.41522,                 1.1375,                0.63698,                0.89423,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.1557,                0.65668,                0.89302,                 0.7313,                0.62571,                0.65143,                 0.4122,                 1.1219,                0.63025,                0.88872,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.1447,                0.64534,                0.89266,                0.80303,                 0.5799,                 0.6599,                0.41011,                 1.1334,                0.63636,                0.89192,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.1399,                0.63154,                0.88243,                0.84367,                0.58515,                0.68417,                0.43295,                 1.1282,                0.61226,                0.89288,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.1555,                0.62926,                0.88539,                0.84904,                0.59688,                0.69056,                0.42342,                 1.1396,                0.60829,                0.89584,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.1391,                0.61578,                0.88533,                0.73932,                0.65413,                0.68823,                0.41888,                 1.1538,                0.60437,                0.89598,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.1219,                0.61121,                0.88156,                0.76985,                0.64343,                0.67221,                0.41279,                 1.1282,                0.60961,                0.88706,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.1434,                0.61514,                0.88301,                  0.737,                0.67369,                0.69958,                0.42282,                 1.1263,                0.60014,                0.89139,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.1243,                0.61502,                0.88477,                0.77928,                0.64886,                0.70084,                  0.433,                 1.1078,                0.59613,                0.88866,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.0909,                0.59949,                0.87682,                0.83741,                0.62206,                0.69204,                0.43283,                 1.0961,                0.58624,                0.88861,               0.000467,               0.000467,               0.000467
                     37,                 1.0891,                0.58509,                0.87995,                0.79624,                0.63843,                0.69806,                 0.4397,                 1.0758,                0.57783,                0.88418,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.0945,                0.58095,                0.87359,                0.78537,                 0.6705,                0.70009,                0.43623,                 1.0929,                0.58012,                0.88697,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.0892,                0.60345,                0.87779,                0.86109,                0.62188,                0.70041,                0.44657,                  1.076,                0.57273,                0.88358,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.0935,                0.59531,                0.87401,                 0.7466,                0.67264,                0.70972,                  0.441,                 1.1056,                0.58037,                0.88887,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.0793,                0.62522,                0.88385,                0.78879,                0.65365,                0.70106,                0.43599,                 1.1167,                0.60188,                0.88796,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.0588,                0.59293,                0.87918,                0.77241,                0.63272,                0.68993,                0.42611,                 1.1216,                0.61385,                0.88921,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.0415,                 0.5749,                0.87269,                0.80594,                 0.6751,                0.71014,                0.43958,                 1.1031,                0.57696,                0.88376,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.0389,                0.57417,                0.87105,                0.76706,                0.65108,                0.69948,                0.43643,                 1.1153,                0.58998,                0.88539,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.0348,                0.56379,                0.86865,                0.83275,                0.65554,                0.71749,                 0.4494,                 1.1038,                0.57417,                0.88577,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.0322,                0.56098,                0.86625,                0.83787,                0.65169,                0.71764,                0.44672,                 1.0839,                0.57035,                0.88136,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.0247,                0.54771,                0.86892,                0.80649,                0.67683,                0.72427,                0.45233,                 1.1006,                 0.5708,                0.88424,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.0198,                0.53924,                0.86986,                0.83548,                0.67251,                0.72665,                 0.4572,                 1.0891,                0.56699,                0.88346,             0.00012747,             0.00012747,             0.00012747
                     49,                   1.02,                0.55036,                0.86457,                 0.8297,                0.66228,                0.72136,                0.45922,                 1.0814,                0.56467,                0.88153,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.0011,                0.54206,                0.86442,                0.82283,                0.67985,                0.72657,                0.46199,                 1.0733,                0.55517,                 0.8809,             7.0878e-05,             7.0878e-05,             7.0878e-05
